HP1,1025001,8.50
HP1,1025002,7.80
HP1,1025003,9.20
HP1,1025004,6.50
HP1,1025005,8.00
HP1,1025006,7.20
HP1,1025007,8.80
HP1,1025008,9.00
HP1,1025009,6.80
HP1,1025010,7.50
HP1,1125011,8.30
HP1,1125012,8.00
HP1,1125013,9.10
HP1,1125014,6.20
HP1,1125015,8.60
HP1,1425049,9.00
HP2,1125016,7.40
HP2,1125017,8.90
HP2,1125018,9.30
HP2,1125019,6.70
HP2,1125020,7.80
HP2,1225021,8.10
HP2,1225022,7.60
HP2,1225023,9.40
HP2,1225024,6.90
HP2,1225025,8.20
HP2,1225026,7.30
HP2,1225027,8.70
HP2,1225028,9.50
HP2,1225029,6.40
HP2,1225030,7.90
HP3,1325031,8.40
HP3,1325032,7.70
HP3,1325033,9.00
HP3,1325034,6.60
HP3,1325035,8.10
HP3,1325036,7.10
HP3,1325037,8.50
HP3,1325038,9.20
HP3,1325039,6.80
HP3,1325040,7.60
HP3,1425041,8.00
HP3,1425042,7.90
HP3,1425043,9.10
HP3,1425044,6.30
HP3,1425045,8.30
HP4,1025001,8.20
HP4,1025002,7.40
HP4,1025003,9.30
HP4,1025004,6.50
HP4,1025005,8.00
HP4,1025006,7.60
HP4,1025007,8.90
HP4,1025008,9.10
HP4,1025009,6.90
HP4,1025010,7.70
HP4,1125050,7.80
HP4,1425046,7.50
HP4,1425047,8.80
HP4,1425048,9.40
HP4,1425049,6.70
HP5,1125011,8.40
HP5,1125012,7.20
HP5,1125013,8.60
HP5,1125014,9.00
HP5,1125015,6.80
HP5,1125016,7.50
HP5,1125017,8.30
HP5,1125018,7.90
HP5,1125019,9.10
HP5,1125020,6.20
HP5,1225021,8.60
HP5,1225022,7.40
HP5,1225023,8.90
HP5,1225024,9.30
HP5,1225025,6.70
HP6,1225026,7.80
HP6,1225027,8.10
HP6,1225028,7.60
HP6,1225029,9.40
HP6,1225030,6.90
HP6,1325031,8.20
HP6,1325032,7.30
HP6,1325033,8.70
HP6,1325034,9.50
HP6,1325035,6.40
HP6,1325036,7.90
HP6,1325037,8.40
HP6,1325038,7.70
HP6,1325039,9.00
HP6,1325040,6.60
HP7,1025001,8.30
HP7,1025002,7.50
HP7,1025003,8.80
HP7,1025004,9.40
HP7,1025005,6.70
HP7,1125050,6.30
HP7,1425041,8.10
HP7,1425042,7.10
HP7,1425043,8.50
HP7,1425044,9.20
HP7,1425045,6.80
HP7,1425046,7.60
HP7,1425047,8.00
HP7,1425048,7.90
HP7,1425049,9.10
HP8,1025006,7.80
HP8,1025007,8.20
HP8,1025008,7.40
HP8,1025009,9.30
HP8,1025010,6.50
HP8,1125011,8.00
HP8,1125012,7.60
HP8,1125013,8.90
HP8,1125014,9.10
HP8,1125015,6.90
HP8,1125016,7.70
HP8,1125017,8.40
HP8,1125018,7.20
HP8,1125019,8.60
HP8,1125020,9.00
